"Type","Path","Line","Text"
"Localhost",".env.example","7","ASPNETCORE_URLS=http://localhost:5000"
"PortSetting",".env.example","7","ASPNETCORE_URLS=http://localhost:5000"
"UrlWithPort",".env.example","7","ASPNETCORE_URLS=http://localhost:5000"
"Localhost",".env.example","10","VITE_API_BASE_URL=http://localhost:5000/api"
"UrlWithPort",".env.example","10","VITE_API_BASE_URL=http://localhost:5000/api"
"Localhost",".env.example","15","ConnectionStrings__DefaultConnection=server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;"
"PortSetting",".env.example","15","ConnectionStrings__DefaultConnection=server=localhost;port=3306;database=viettuoraudio;user=root;password=;SslMode=None;AllowPublicKeyRetrieval=True;"
"Localhost",".env.example","16","Storage__PublicBaseUrl=http://localhost:5000/uploads"
"UrlWithPort",".env.example","16","Storage__PublicBaseUrl=http://localhost:5000/uploads"
"Localhost",".env.example","17","FRONTEND_URL=http://localhost:5173,http://127.0.0.1:5173,http://localhost:5174,http://127.0.0.1:5174"
"Loopback",".env.example","17","FRONTEND_URL=http://localhost:5173,http://127.0.0.1:5173,http://localhost:5174,http://127.0.0.1:5174"
"UrlWithPort",".env.example","17","FRONTEND_URL=http://localhost:5173,http://127.0.0.1:5173,http://localhost:5174,http://127.0.0.1:5174"
"PortSetting","admin_audit_report.md","80","| Backend server status | ✅ Running on port 45200 |"
"Localhost","API_CONTRACT.md","11","- **Visitor API:** `http://localhost:5000`"
"UrlWithPort","API_CONTRACT.md","11","- **Visitor API:** `http://localhost:5000`"
"Localhost","API_CONTRACT.md","12","- **Admin API:** `http://localhost:5001`"
"UrlWithPort","API_CONTRACT.md","12","- **Admin API:** `http://localhost:5001`"
"Localhost","API_CONTRACT.md","13","- **Frontend Dev:** `http://localhost:5173`"
"UrlWithPort","API_CONTRACT.md","13","- **Frontend Dev:** `http://localhost:5173`"
"PortSetting","API_CONTRACT.md","22","**Port:** 5001 (Admin API)"
"PortSetting","API_CONTRACT.md","66","**Port:** 5001 (Admin API)"
"PortSetting","API_CONTRACT.md","111","**Port:** 5001 (Admin API)"
"PortSetting","API_CONTRACT.md","140","**Port:** 5001 (Admin API)"
"PortSetting","API_CONTRACT.md","168","**Port:** 5001 (Admin API)"
"PortSetting","API_CONTRACT.md","187","**Port:** 5001"
"PortSetting","API_CONTRACT.md","223","**Port:** 5001"
"PortSetting","API_CONTRACT.md","253","**Port:** 5001"
"PortSetting","API_CONTRACT.md","279","**Port:** 5001"
"PortSetting","API_CONTRACT.md","309","**Port:** 5000 (Visitor API)"
"Localhost","API_CONTRACT.md","334","""imageUrl"": ""http://localhost:5000/uploads/poi-1.jpg"","
"UrlWithPort","API_CONTRACT.md","334","""imageUrl"": ""http://localhost:5000/uploads/poi-1.jpg"","
"PortSetting","API_CONTRACT.md","348","**Port:** 5000"
"Localhost","API_CONTRACT.md","364","""imageUrl"": ""http://localhost:5000/uploads/poi-1.jpg"","
"UrlWithPort","API_CONTRACT.md","364","""imageUrl"": ""http://localhost:5000/uploads/poi-1.jpg"","
"PortSetting","API_CONTRACT.md","375","**Port:** 5000"
"PortSetting","API_CONTRACT.md","412","**Port:** 5000"
"PortSetting","API_CONTRACT.md","443","**Port:** 5000"
"PortSetting","API_CONTRACT.md","465","**Port:** 5000"
